ATTN-CIV1-1,ATTN-CIV1-2,ATTN-CIV1-3,ATTN-CIV1-4,ATTN-CIV1-5,ATTN-CIV1-6,ATTN-CIV1-7,DEC-RATE-CIV1,DEC-CIV1-1,WHY-DEC-CIV1,DEC-CIV1-2,"COMPENSATORY-CIV1
",ATTN-CIV3-1,ATTN-CIV3-2,ATTN-CIV3-3,ATTN-CIV3-3,ATTN-CIV3-2,ATTN-CIV3-4,ATTN-CIV3-4,DEC-RATE-CIV3,DEC-CIV3-1,WHY-DEC-CIV3,DEC-CIV3-2,"COMPENSATORY-CIV3
",ATTN-CRIM-1,ATTN-CRIM-2,ATTN-CRIM-3,ATTN-CRIM-4,ATTN-CRIM-5,ATTN-CRIM-6,ATTN-CRIM-7,DEC-RATE-CRIM,DEC-CRIM-1,WHY-DEC-CRIM,DEC-CRIM-2,"COMPENSATORY-CRIM
",VICCRED,VICBELIEVE,VICHONEST,VICBLAME,VICRESP,VICDISTRESS,VICFEAR,VICANNOY,VICFLATTER,VICSYMP,VICANGER,VICGREED,VICLIKE,VICSELFISH,PERPCRED,PERPBELIEVE,PERPHONEST,PERPBLAME,PERPRESP,PERPDANGER,PERPDISTRESS,PERPFEAR,PERPSYMP,PERPANGER,GENDER,AGE,CITIZEN,RACE,JURYSERVE,TIMESSERVE,JURYCRIME,JURYOUTCOME,JURYUNANIMOUS,,
1,2,5,1,1,2,1,7,1,"Defendant admits to being highly emotional, yet has a reasonable explanation for events, which is suspicious. The crossing paths on campus can't all be councidental, the roommates explanation of his reaction to being told to go away is more likely than his, and so on. Finally, after several months of rejection, he persisted. When would it end? ",1,5000,,,,,,,,,,,,,,,,,,,,,,,,,9,10,10,1,1,8,6,10,2,10,1,1,6,1,3,3,2,10,10,5,5,4,2,6,1,48,1,3,2,,,,,A2VE5IV9OD2SK1,civ1
1,2,5,1,1,3,1,15,1,"I felt that a reasonable person would be very fearful in this situation. It's one thing to send emails, but just sitting at her work, showing up outside of her classes, and speaking with her professor was way out of line.",1,10000,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,2,2,8,9,10,1,9,1,1,9,1,2,2,2,10,10,8,8,7,1,9,2,64,1,3,2,,,,,A25FJAJGTWFMP,civ1
1,2,5,1,1,2,1,8,1,Her stories are very elaborate in how the emails were invading her line of privacy. She also did not engage in any violence or escalation. Her safest move was to file a case,1,5000,,,,,,,,,,,,,,,,,,,,,,,,,7,8,9,1,7,9,8,10,1,1,9,1,9,1,1,4,5,10,10,9,9,9,1,9,2,24,1,1,2,,,,,A39KJNWAFOD7N1,civ1
1,2,5,1,1,3,1,6,2,"If he had been asked to stop in writing, like with a restraining order, and still continued, I think that would be stalking. But the only piece of evidence indicating stalking is the photo from the mall. The rest lines up with them just having a similar school schedule. His emails were inappropriate and made her uncomfortable, but I wouldn't call them stalking.",2,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,1,1,7,8,6,3,6,1,1,5,5,6,7,7,8,7,2,1,1,6,2,1,33,1,3,2,,,,,A1U46YK7C5HEY1,civ1
1,2,5,1,1,3,1,1,2,"I believe there is a lot of circumstantial evidence and eye witness testimony. However, I would like to read the email transcripts, see surveillance footage, GPS logs, and review any other digital evidence that may indicate the level of stalking that is alleged to have occurred. Recent scientific evidence suggests that eye witness misidentification can lead to wrongful convictions",2,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,1,1,6,1,4,1,10,1,1,6,1,10,10,10,1,1,1,1,1,2,1,4,40,1,8,2,,,,,A3NMU6AVMQ0QDB,civ1
1,2,5,1,1,3,1,9,1,"I have been stalked. It is a horrible violation of boundars. Mr. Jones was not being encouraged by this young woman. She quit sending emails so he should have quit sending them to her. She sent her friend to tell him to stop. That was a boundary. He refused to abide by this. Had the Security Officer taken this seriously, he could have had a conversation with Mr. Jones and told him to stop emailing and bothering this young woman. Any reasonable person would understand that if you do not respond to overtures, that means they aren't interested. Mr. Jones caused unnecessary trauma by ignoring her boundaries.",1,10000,,,,,,,,,,,,,,,,,,,,,,,,,10,10,8,3,1,8,9,10,1,10,1,1,7,2,1,1,1,10,10,10,8,8,1,5,2,63,1,3,1,1,A man was suing Owens Corning because he had asbestosis decades after he allegedly worked with that company's products. We had a hung jury.,hung jury,"With Owens Corning, I felt the defendent was not guilty. The man suing had smoked for 50 years and had lung disease. It could have been from smoking more than it could have been from working with an asbestos product 50 years earlier. It was obvious his wife was greedy for money. He was mowing his grass up to his late 70s then had lung disease. ",A8X1YI90JPSGP,civ1
1,2,5,1,1,3,1,9,1,The preponderance of evidence shows Mr. Jones engaged in stalking behavior that caused Ms. Klein substantial mental distress,1,15000,,,,,,,,,,,,,,,,,,,,,,,,,8,9,9,2,3,2,7,8,2,9,1,1,9,5,3,2,3,9,8,9,9,8,1,7,2,66,1,3,2,,,,,APVZGZM1RA3AZ,civ1
1,2,5,1,1,3,1,9,1,The defendant was stalking the plaintiff. He continued to stalk her even after her roommate told him not to do so. The plaintiff was afraid of the defendant and approached public safety multiple times to get extra security. The defendant went so far as to even talk to the plaintiff's professor. He was clearly following her around campus and at her job.,1,"$5,000 ",,,,,,,,,,,,,,,,,,,,,,,,,10,10,9,1,1,9,9,8,1,10,1,3,6,2,2,2,3,10,10,8,3,2,1,9,2,61,1,3,2,,,,,A2OROMUVBD1NVC,civ1
1,2,5,1,1,3,1,15,1,"I believe that the defendant did stalk the plaintiff. Especially after he was told to back off, he did not. Even his own testimony gave off the frightening vibes of a stalker.",1,10000,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,2,9,4,9,3,9,1,2,8,2,6,7,2,10,10,6,3,2,3,7,1,57,1,3,1,1,None. It was a civil trial about a car accident.,Found for the defendant.,Not guilty.,A713BA98XB18H,civ1
1,2,5,1,1,3,2,3,2,"He never approached her aggressively, he stopped once he was told that he was making her upset, and the security officer felt that there was not much to do",2,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,2,2,4,6,10,1,5,2,10,4,8,5,5,5,7,7,1,1,1,1,2,2,39,1,2,2,,,,,A1G98YIYUDP5YS,civ1
